CVE-2013-0292 EXPLOIT-DB:33614
CVE-2008-1802 EXPLOIT-DB:5585
CVE-2014-3153 EXPLOIT-DB:35370
CVE-2017-14493 EXPLOIT-DB:42943
CVE-2016-8655 EXPLOIT-DB:40871
CVE-2016-8655 EXPLOIT-DB:44696
CVE-2016-6707 EXPLOIT-DB:40874
CVE-2016-1885 EXPLOIT-DB:39570
CVE-2016-2184 EXPLOIT-DB:39555
CVE-2012-2110 EXPLOIT-DB:18756
CVE-2011-0762 EXPLOIT-DB:16270
CVE-2016-6662 EXPLOIT-DB:40360
CVE-2016-9587 EXPLOIT-DB:41013
CVE-2017-8548 EXPLOIT-DB:42473
CVE-2015-1793 EXPLOIT-DB:38640
CVE-2015-3134 EXPLOIT-DB:37862
CVE-2016-7201 EXPLOIT-DB:40990
CVE-2016-7201 EXPLOIT-DB:40784
CVE-2014-2299 EXPLOIT-DB:33069
CVE-2008-1801 EXPLOIT-DB:5561
CVE-2015-3456 EXPLOIT-DB:37053
CVE-2017-7228 EXPLOIT-DB:41870
CVE-2016-1583 EXPLOIT-DB:39992
CVE-2017-14494 EXPLOIT-DB:42944
CVE-2008-1447 EXPLOIT-DB:6122
CVE-2008-1447 EXPLOIT-DB:6123
CVE-2008-1447 EXPLOIT-DB:6130
CVE-2015-1538 EXPLOIT-DB:38124
CVE-2016-1879 EXPLOIT-DB:39305
CVE-2009-1378 EXPLOIT-DB:8720
CVE-2013-0249 EXPLOIT-DB:24487
CVE-2010-3904 EXPLOIT-DB:44677
CVE-2011-3368 EXPLOIT-DB:17969
CVE-2017-2671 EXPLOIT-DB:42135
CVE-2014-4699 EXPLOIT-DB:34134
CVE-2010-4254 EXPLOIT-DB:15974
CVE-2016-2494 EXPLOIT-DB:39921
CVE-2017-0412 EXPLOIT-DB:41355
CVE-2012-0217 EXPLOIT-DB:28718
CVE-2017-8779 EXPLOIT-DB:41974
CVE-2016-6210 EXPLOIT-DB:40113
CVE-2016-6210 EXPLOIT-DB:40136
CVE-2016-5348 EXPLOIT-DB:40502
CVE-2017-14496 EXPLOIT-DB:42946
CVE-2015-5602 EXPLOIT-DB:37710
CVE-2016-6186 EXPLOIT-DB:40129
CVE-2016-6689 EXPLOIT-DB:40515
CVE-2015-7547 EXPLOIT-DB:39454
CVE-2015-7547 EXPLOIT-DB:40339
CVE-2014-6278 EXPLOIT-DB:39887
CVE-2014-6278 EXPLOIT-DB:39568
CVE-2016-7240 EXPLOIT-DB:40773
CVE-2006-4343 EXPLOIT-DB:4773
CVE-2017-14492 EXPLOIT-DB:42942
CVE-2008-0600 EXPLOIT-DB:5092
CVE-2014-0160 EXPLOIT-DB:32745
CVE-2014-0160 EXPLOIT-DB:32764
CVE-2014-7822 EXPLOIT-DB:36743
CVE-2017-5715 EXPLOIT-DB:43427
CVE-2015-7805 EXPLOIT-DB:38447
CVE-2012-3524 EXPLOIT-DB:21323
CVE-2016-10010 EXPLOIT-DB:40962
CVE-2018-0492 EXPLOIT-DB:44452
